"Freshmail Synchronization","Synchronizacja z Freshmailem"
Refresh,Odśwież
"-- Please Select --","-- Proszę wybrać --"
"Field bearer token should not be empty!","Pole bearer token nie może być puste!"
"Email should be valid string (%email)","Adres email powinien być poprawnym ciągiem (%email)"
"List hash cannot be a blank string","Hash listy nie może być pustym ciągiem"
"Invalid value (%state) in state param","Niepoprawna wartość (%state) w parametrze state"
"Invalid value (%confirm) in confirm param","Invalid value (%confirm) w parametrze confirm"
"Integration Activation failed. Please try again later","Aktywacja integracji nie powiodła się. Proszę spróbować później"
"Some errors have been occurred during FreshMail sync.","Pewne błędy wystąpiły podczas synchronizacji z FreshMail."
"Not configured hash list for given store id: %storeId","Nieskonfigurowano lista hash dla danego sklepu z id: %storeId"
"Given list:  %listHash doest not exist on FreshMail account.","Podana lista:  %listHash nie istnieje na koncie FreshMail."
"Integration Activation failed. Failed getting IP address from hostname","Aktywacja integracji nie powiodła się. Niepowodzenie przy pobieraniu adresu IP z nazwy hosta"
"Integration Activation failed. The IP address must not be within a private range","Aktywacja integracji nie powiodła się. Adres IP nie może znajdować się w prywatnym zakresie"
"Pending","Oczekujący"
Success,Sukces
Error,Błąd
"Unknown Status","Nieznany status"
"Add a new subscriber","Dodanie nowego subskrybenta"
"Edit existing subscriber","Edycja istniejącego subskrybenta"
"Unsubscribe subscriber","Wypisz subsckrybenta"
"Delete subscriber","Usunięcie subskrybenta"
"Full Sync Emails","Pełna synchronizacja emalii"
"Unknown Action","Nieznana akcja"
"Connection failed!","Połączenie nie powiodło się!"
"Connection Successful!","Połączenie nawiązano poprawnie!"
Freshmail,Freshmail
"Freshmail Configuration","Konfiguracja Freshmaila"
"Connect shop with FreshMail","Połącz sklep z FreshMailem"
"Enable FreshMail Integration","Włącz inegrację FreshMail"
"Set FreshMail Integration to enable/disable.","Ustaw integrację FreshMail na włączoną/wyłączoną."
"Bearer Token","Bearer Token"
"Test Connection","Test Połączenia"
"Transaction Emails","Maile transakcyjne"
"Send transactional emails by FreshMail servers","Wysyłaj maile transakcyjne przez serwery FreshMail"
"Recipient list","Lista odbiorców"
"Choose a recipient list in FreshMail with which you want to synchronize subscribers and shop clients","Wybierz listę odbiorców we FreshMailu z którą chcesz synchronizować subskrybentów i klientów sklepu."
"Debug Mode","Tryb debugowania"
"Enable debug mode in order to help programmers find and resolve issues related with FreshMail module","Włącz tryb ułatwiający programistom znajdowanie i rozwiązywania usterek związanym z działaniem modułu FreshMail"
Yes,Tak
No,Nie
"Save Config","Zapisz Konfigurację"
"First Email","Pierwszy Email"
"Second Email","Drugi Email"
"Third Email","Trzeci Email"
"Send After","Wyslij po"
"Day","Dniu"
"Days","Dniach"
"Please Select","Proszę Wybrać"
"Synchronize templates with FreshMail","Synchronizuj szablony z FreshMail"
"Synchronize job added to queue. The templates will be synchronized within 2 minutes.","Synchronizacja dodana do kolejki. Szablony będą zsynchronizowane w przeciągu 2 minut."
"Edit template in FreshMail","Edytuj szablon w FreshMail"
"Field template id should not be empty.","pole template id nie może być puste."
"There is no such template in the database.","Nie ma takiego szablonu w bazie danych."
"Template will open in FreshMail editor. After making changes and saving template in FreshMail, go to Magento and click on 'Synchronize templates' to see the changes.","Szablon otworzy się w edytorze FreshMail. Po dokonaniu zmian i zapisaniu szablonu we FreshMailu przejdź do Magento i kliknij przycisk 'Synchronizuj szablony' aby zobaczyć dokonane zmiany."
